realClass,\ari,\flesch,\coleman,\kincaid,\fog,\smog,\li,\numPerguntas,\numPassiveVoice,\porcMenoresFrases,\porcMaioresFrases,\porcConjucoes,\numAuxiliarVerb,\inicioArtigo,\inicioPronome,\inicioConjuncaoSubordinadas,\inicioConjuncao,\porcSubstantivacao,\porcPreposicao,\inicioPronomeInterrogativo,\inicioPreposicoes,\wordCount,\sentenceCount,\porcToBe,\numPronomes,\CitPerTLen,\ImagesPerSec,\numCitations,\CitPerSec,\minSLen,\maxSLen,\stdSLen,\minAbsLen,\XLinksPerSec,\ssCount,\sCount,\numExtLink,\tamMaiorFrase,\avgSLen,\meanSubsectionPerSection,\LinksPerTLen,\avgPLen,id
'SB',13.7,8.3,17.2,15.6,17.0,14.0,53.3,0.0,1.0,0.5,0.0,0.0357,0.0,0.0,1.0,0.0,0.0,0.0714,0.1786,0.0,0.0,28.0,2.0,0.0357,1.0,0.0,1.0,0.0,0.0,278.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,11.1209,9.3333,9915833
'SB',9.9,73.3,9.7,7.8,10.3,9.1,36.8,0.0,3.0,0.1538,0.0769,0.0438,1.0,1.0,2.0,2.0,0.0,12,0.1275,0.0,1.0,251.0,13.0,12,13.0,0.0,0.0,0.0,0.0,147.0,825.0,157.87,347.0,0.75,0.0,4.0,3.0,40.0,716.75,0.0,114.68,62.75,6044227
'GA',15.9,57.3,11.8,12.4,15.5,12.2,52.9,0.0,33.0,0.5714,0.2078,0.0521,6.0,7.0,14.0,11.0,0.0,0.0112,0.1164,0.0,11.0,2225.0,77.0,0.0207,120.0,1435.4667,125,15.0,1875,10.0,3792.0,168.63,553.0,0.25,4.0,8.0,2.0,104.0,2691.5,0.5,169.5433,247.2222,317070
'FA',21.4,35.2,13.2,17.8,21.7,16.6,66.0,3.0,73.0,0.5966,0.2185,0.0524,62.0,22.0,14.0,4.0,2.0,0.0473,0.1546,0.0,15.0,4522.0,119.0,0.0314,172.0,1680.5385,0.5,26.0,2.6,15.0,8538.0,237.08,3847.0,2.4,12.0,10.0,24.0,199.0,4369.4,1.2,170.0156,173.9231,9119240
'AC',13.8,56.8,11.9,11.3,13.8,11.7,48.3,0.0,17.0,0.4923,0.1769,0.0519,6.0,37.0,6.0,4.0,0.0,0.0144,0.1497,1.0,15.0,3119.0,130.0,0.0077,84.0,4666.3335,1.5,6.0,1.0,168.0,5111.0,317.75,449.0,1.3333,9.0,6.0,8.0,163.0,4666.3335,1.5,102.5568,111.3929,14105
'FA',17.5,47.5,12.7,14.2,17.4,13.9,57.4,0.0,108.0,0.5561,0.2146,51,30.0,42.0,19.0,26.0,1.0,0.0173,0.1343,2.0,21.0,6249.0,205.0,0.0274,305.0,2001.12,0.5,25.0,2.5,11.0,7508.0,336.78,2815.0,0.7,8.0,10.0,7.0,146.0,5002.8,0.8,255.2449,240.3462,157814
'FA',13.3,51.1,13.1,11.3,15.0,13.2,50.3,12.0,304.0,0.4636,0.2066,0.0457,126.0,133.0,58.0,39.0,9.0,31,0.1062,8.0,72.0,15729.0,755.0,0.0269,696.0,599415,1.5,200.0,25.0,28.0,11179.0,648.08,3030.0,4875,20.0,8.0,39.0,104.0,14985375,2.5,280.1005,169129,3135714
'ST',17.0,47.4,13.6,13.6,16.6,13.6,57.2,0.0,26.0,0.6061,0.2727,0.0678,0.0,10.0,3.0,0.0,0.0,0.0118,0.1098,0.0,3.0,929.0,33.0,0.0388,42.0,1442.0,0.5,6.0,3.0,68.0,3998.0,39.26,2471.0,0.0,0.0,2.0,0.0,90.0,4326.0,0.0,157.3091,132.7143,9704143
'FA',33.9,10.0,12.3,28.0,31.4,19.3,92.8,0.0,55.0,0.6618,0.2941,0.0659,48.0,13.0,7.0,5.0,0.0,0.0147,0.1019,0.0,7.0,4414.0,68.0,0.0353,90.0,961.1875,625,32.0,4.0,10.0,5078.0,146.24,1756.0,0.75,11.0,8.0,6.0,356.0,3844.75,1375,287.4579,441.4,1471706
'SB',10.9,60.1,11.1,9.6,12.6,11.4,48.9,0.0,10.0,0.3,0.15,0.0262,0.0,11.0,1.0,1.0,0.0,0.0157,0.1545,0.0,3.0,382.0,20.0,0.0262,5.0,0.0,0.0,0.0,0.0,377.0,2295.0,266.58,2302.0,2.0,0.0,1.0,2.0,36.0,3256.0,0.0,85.6842,95.5,589980
'ST',8.8,57.5,12.7,7.8,10.2,9.9,43.9,0.0,1.0,0.6667,0.1429,0.0255,1.0,1.0,0.0,0.0,0.0,0.0255,81,0.0,0.0,432.0,42.0,0.0023,0.0,2282.5,0.0,2.0,0.1818,15.0,527.0,82.73,1.0,0.0,7.0,11.0,0.0,80.0,415.0,0.6364,48.5638,54.0,4248260
