fold,iD,predictedResult,targetResult
3,25,4.521999835968018,5.0c
2,336,3.5668299198150635,2.0c
2,663,3.9160399436950684,5.0c
3,717,4.2374701499938965,4.0c
0,737,4.904759883880615,4.0c
1,770,3.7230799198150635,3.0c
2,904,4.2131500244140625,4.0c
3,931,2.764039993286133,4.0c
4,1365,3.98294997215271,4.0c
0,1680,0.7137150168418884,1.0c
4,1844,4.940120220184326,5.0c
1,2065,4.511280059814453,4.0c
0,2067,4.318019866943359,5.0c
2,2130,3.5836100578308105,4.0c
0,2174,4.722929954528809,5.0c
4,2219,3.867919921875,3.0c
0,2408,3.285029888153076,1.0c
2,2442,2.9737000465393066,4.0c
2,2593,3.836940050125122,4.0c
1,2834,4.626580238342285,5.0c
0,2963,4.014389991760254,4.0c
2,2995,4.547560214996338,5.0c
3,3185,4.611289978027344,2.0c
0,3382,4.446569919586182,3.0c
0,3383,4.760079860687256,3.0c
1,3392,4.42572021484375,4.0c
1,3454,5.055190086364746,5.0c
3,3457,4.942840099334717,5.0c
4,3736,3.819920063018799,4.0c
0,4054,4.733320236206055,5.0c
1,4068,3.9751698970794678,5.0c
1,4116,4.780920028686523,5.0c
0,4220,4.49015998840332,5.0c
1,4230,3.99429988861084,3.0c
1,4234,2.646199941635132,4.0c
3,4251,4.27977991104126,5.0c
0,4329,4.300749778747559,3.0c
1,4335,4.388579845428467,5.0c
2,4347,4.823959827423096,3.0c
1,4455,2.6324100494384766,2.0c
3,4472,4.090290069580078,3.0c
2,4501,4.4233198165893555,3.0c
3,4650,4.359829902648926,4.0c
2,4652,3.885849952697754,5.0c
0,4822,3.6147100925445557,4.0c
2,4849,4.4012298583984375,3.0c
3,5025,3.825900077819824,3.0c
3,5192,4.0442399978637695,4.0c
0,5195,2.7771599292755127,4.0c
1,5199,3.19773006439209,4.0c
1,5312,2.6298201084136963,3.0c
2,5813,4.328229904174805,3.0c
4,5935,4.384580135345459,4.0c
1,5962,4.617179870605469,5.0c
0,6140,4.73415994644165,5.0c
0,6220,2.9398999214172363,2.0c
3,6418,4.086339950561523,3.0c
3,6558,2.657140016555786,4.0c
2,6611,4.591159820556641,5.0c
0,6614,4.575170040130615,5.0c
0,6635,1.2551499605178833,1.0c
3,6641,4.0804901123046875,5.0c
2,6693,1.5394200086593628,2.0c
3,6851,4.543859958648682,4.0c
0,6868,4.4255900382995605,5.0c
1,7012,4.283909797668457,5.0c
2,7045,4.190839767456055,4.0c
3,7053,4.306580066680908,4.0c
3,7085,3.22340989112854,3.0c
2,7235,4.755430221557617,5.0c
2,7341,3.555340051651001,2.0c
2,7388,3.865999937057495,4.0c
3,7738,4.184589862823486,4.0c
2,7803,1.2370200157165527,1.0c
4,7940,5.0371198654174805,5.0c
3,7989,3.831969976425171,3.0c
3,8092,4.703670024871826,3.0c
0,8099,3.5366899967193604,2.0c
4,8209,4.7961201667785645,5.0c
2,8367,3.359829902648926,4.0c
2,8418,4.9341301918029785,5.0c
0,8593,2.926959991455078,3.0c
1,8651,4.083099842071533,4.0c
4,8687,4.406060218811035,5.0c
2,8695,3.958739995956421,2.0c
3,8696,5.143650054931641,5.0c
4,8752,3.80049991607666,4.0c
3,8827,3.688839912414551,3.0c
3,9317,4.526800155639648,3.0c
4,9508,5.048190116882324,5.0c
2,9531,4.567820072174072,5.0c
2,9553,2.542759895324707,2.0c
3,9616,3.0157599449157715,4.0c
2,9691,3.5174601078033447,2.0c
2,9763,4.661159992218018,5.0c
1,9837,3.4368600845336914,2.0c
0,9891,4.495800018310547,3.0c
0,9954,4.5680999755859375,5.0c
2,9974,4.5225701332092285,5.0c
2,10166,3.1482601165771484,2.0c
2,10223,3.114449977874756,4.0c
2,10245,3.6350600719451904,5.0c
0,10296,3.4727299213409424,4.0c
1,10332,4.260509967803955,4.0c
0,10531,3.626430034637451,2.0c
2,10568,4.257339954376221,5.0c
3,10802,4.845330238342285,4.0c
0,10827,2.9825599193573,3.0c
0,10885,4.287670135498047,4.0c
4,10891,4.179480075836182,4.0c
4,10949,3.3751699924468994,4.0c
1,10997,2.8394100666046143,4.0c
1,11092,3.0506999492645264,2.0c
2,11127,4.605810165405273,4.0c
3,11370,4.224460124969482,5.0c
2,11447,4.179100036621094,4.0c
0,11579,4.776259899139404,5.0c
3,12024,4.5909600257873535,4.0c
1,12102,3.9667999744415283,2.0c
0,12362,3.9859299659729004,3.0c
3,12386,4.860030174255371,4.0c
2,12614,4.5812201499938965,5.0c
2,12770,3.782399892807007,4.0c
2,12866,4.2237701416015625,5.0c
1,13021,4.911499977111816,3.0c
0,13052,1.7636799812316895,1.0c
2,13172,3.9481000900268555,5.0c
0,13256,4.36752986907959,5.0c
1,13486,5.059679985046387,5.0c
4,13610,3.7969300746917725,4.0c
4,13625,4.187180042266846,3.0c
3,13658,3.3139801025390625,4.0c
3,13772,3.5167698860168457,2.0c
2,13774,4.141109943389893,5.0c
4,13815,3.7633299827575684,2.0c
0,14105,3.4633800983428955,4.0c
1,14229,4.267099857330322,3.0c
1,14451,3.486599922180176,4.0c
1,14560,4.30049991607666,4.0c
4,14579,5.129519939422607,5.0c
4,14627,4.068709850311279,5.0c
0,14678,4.225520133972168,4.0c
1,14790,3.9605801105499268,2.0c
3,14880,4.048709869384766,3.0c
2,14895,3.8655500411987305,3.0c
2,14914,4.168829917907715,2.0c
3,14918,3.441879987716675,2.0c
3,14944,3.9144699573516846,4.0c
2,15022,3.825969934463501,2.0c
4,15043,4.234580039978027,3.0c
1,15100,4.039289951324463,4.0c
2,15179,4.175459861755371,2.0c
1,15242,2.2939200401306152,2.0c
4,15406,4.265729904174805,2.0c
3,15575,2.914170026779175,2.0c
0,15604,4.409550189971924,3.0c
0,15622,3.3513898849487305,2.0c
0,15736,4.749269962310791,5.0c
2,15777,4.606170177459717,3.0c
4,15919,3.7627499103546143,3.0c
4,15980,3.766940116882324,5.0c
4,16261,3.0163700580596924,2.0c
1,16315,3.780090093612671,2.0c
0,16494,3.288290023803711,3.0c
1,16756,3.757050037384033,4.0c
1,16768,3.565809965133667,3.0c
3,16796,4.999989986419678,5.0c
0,16858,4.171329975128174,5.0c
1,16880,5.00862979888916,5.0c
1,16890,3.6547300815582275,4.0c
4,17391,4.275259971618652,4.0c
2,17538,4.165629863739014,5.0c
2,17541,4.360270023345947,4.0c
3,17556,3.9953699111938477,4.0c
1,17725,4.495830059051514,2.0c
4,17738,4.466969966888428,4.0c
3,17839,4.233699798583984,4.0c
1,17862,4.829480171203613,3.0c
1,17902,4.4534502029418945,5.0c
3,17926,3.629149913787842,5.0c
4,17992,2.152869939804077,2.0c
1,18053,3.7812399864196777,5.0c
3,18290,4.3119401931762695,4.0c
4,18390,3.4996399879455566,2.0c
3,18739,3.8636600971221924,5.0c
3,18831,4.718369960784912,4.0c
2,18894,4.206789970397949,3.0c
2,19137,4.326079845428467,4.0c
2,19226,4.658279895782471,4.0c
3,19331,5.052380084991455,5.0c
4,19445,3.3058199882507324,2.0c
2,19694,4.6158599853515625,5.0c
2,19708,3.0567100048065186,5.0c
2,19714,4.386459827423096,3.0c
2,19894,4.36584997177124,5.0c
0,19898,3.5223500728607178,4.0c
2,20043,2.980950117111206,4.0c
4,20057,4.635900020599365,4.0c
2,20206,4.91195011138916,5.0c
1,20254,2.443769931793213,1.0c
0,20374,4.24813985824585,5.0c
3,20396,3.9756999015808105,3.0c
1,20397,4.1121602058410645,4.0c
1,20423,4.462180137634277,4.0c
3,20498,4.153500080108643,5.0c
0,20582,2.7022299766540527,4.0c
4,20640,4.544459819793701,4.0c
4,20844,4.217020034790039,4.0c
3,20952,4.942930221557617,3.0c
2,21133,4.2970499992370605,3.0c
1,21247,4.437160015106201,3.0c
4,21302,4.24144983291626,5.0c
0,21503,4.554719924926758,4.0c
3,21544,3.6467599868774414,4.0c
4,21615,4.414750099182129,5.0c
2,21690,3.5923099517822266,4.0c
4,21719,4.02623987197876,5.0c
2,21830,5.1946702003479,4.0c
0,21839,3.820549964904785,4.0c
1,21969,4.673520088195801,5.0c
4,22218,3.9818499088287354,4.0c
4,22387,4.192530155181885,5.0c
0,22416,3.707159996032715,2.0c
3,22473,3.481450080871582,2.0c
0,22479,3.089669942855835,2.0c
4,22489,4.5725998878479,5.0c
4,22576,4.433539867401123,4.0c
2,22669,3.6074600219726562,5.0c
2,22701,2.77974009513855,2.0c
2,22915,5.246200084686279,3.0c
0,22939,4.306819915771484,4.0c
4,23033,4.373270034790039,4.0c
3,23056,4.033140182495117,4.0c
4,23219,2.476560115814209,1.0c
2,23235,4.284609794616699,5.0c
2,23365,2.907900094985962,4.0c
1,23460,4.690830230712891,5.0c
3,23588,3.0026400089263916,2.0c
1,23745,4.521550178527832,3.0c
0,23749,4.95727014541626,5.0c
1,23754,4.742859840393066,5.0c
2,23798,3.175909996032715,4.0c
3,23871,2.157399892807007,2.0c
0,23880,4.773670196533203,3.0c
1,24048,2.9041800498962402,2.0c
2,24451,3.1522300243377686,5.0c
1,24632,4.326290130615234,4.0c
1,24639,4.253849983215332,5.0c
0,24836,3.8789100646972656,2.0c
1,24953,4.041530132293701,3.0c
2,25005,3.6735401153564453,4.0c
0,25410,4.3292999267578125,3.0c
4,25421,4.752910137176514,4.0c
0,25491,3.8555500507354736,3.0c
0,25534,4.224949836730957,4.0c
1,25602,2.679949998855591,2.0c
4,25604,3.4267098903656006,4.0c
3,25781,4.287109851837158,4.0c
2,25807,3.404710054397583,4.0c
4,25821,4.501100063323975,3.0c
1,25971,3.630500078201294,3.0c
3,26348,2.9976398944854736,2.0c
2,26458,4.402050018310547,5.0c
2,26709,4.382229804992676,2.0c
0,26790,3.1451900005340576,3.0c
3,26808,4.912819862365723,5.0c
3,26884,3.2139699459075928,3.0c
1,26895,3.1745100021362305,1.0c
1,26905,4.333960056304932,5.0c
3,27009,4.362929821014404,2.0c
4,27117,3.647320032119751,4.0c
4,27127,3.578629970550537,4.0c
3,27198,3.1552300453186035,2.0c
2,27248,3.88457989692688,2.0c
0,27480,1.8589400053024292,2.0c
0,27720,4.616710186004639,2.0c
