doc+AF8-name,Sentences starting with a Correlativeconjunctions,Images per subsection,Relativepronouns Count,Large Phrase Count,Images count,Tobeverbs Count,Lasbarhetsindex Readability Feature,Phrase count,Relative URL link Count per length,Mean subsection size,Prepositions Count,Standard deviation of the section size,Largest Phrase Count,Relative URL link Count,Short phrase rate,Sentences starting with a Subordinatingconjunctions,Flesch Reading Ease Readability Feature,Relative URL link Count per section,Sentences starting with a Pronouns,Sentences starting with a Prepositions,Same page link count per section,Sentences starting with a Relativepronouns,Same page link Count,Complete URL link Count per length,Largest phrase size,Coleman+AC0-Liau Readability Feature,Mean section size,Articles Count,Sentences starting with a Tobeverbs,Preposition Count,Sentences starting with a Coordinatingconjunctions,Complete URL link Count per section,Images per section,Section Count,Pronouns Count,Subsection Count,Smog Grading Readability Feature,Auxiliaryverbs Count,ARI Readability Feature,Coordinatingconjunctions Count,Sentences starting with an Auxiliaryverbs,Complete URL link Count,Preposition Count en,Large Paragraph Count,Correlativeconjunctions Count,Flesch Kincaid Readability Feature,Sentences starting with an Indefinitepronouns,Largest Phrase Count en,Largest section size,Images per length,Paragraph Count,Interrogativepronouns Count,Gunning Fog Index Readability Feature,Sentences starting with an Interrogativepronouns,Shortest section size,Subordinatingconjunctions Count,Same page link count per length,Indefinitepronouns Count,Large phrase rate,Sentences starting with an Articles
10000287,0,0,0,1,0.0,0,37.05737704918033,2,0.005934718100890208,168.0,2,0,1,2,0.5,0,8.064385245901661,2,0,0,0,0,0,0.002967359050445104,24,8.249836065573774,0,2,0,0,0,1,0,0,0,1,10.810249675906654,0,13.905409836065573,0,0,1,0,0,0,19.71155737704918,0,1,0,0.0,1,0,14.822950819672133,0,0,0,0.0,0,0.5,0
10005801,0,4,11,61,0.0005044772354647496,34,28.86642395749723,76,0.008071635767435994,1024.0,186,0,61,64,0.47368421052631576,1,52.72846276229794,64,0,0,57,0,57,0.0002522386177323748,157,9.935163398692811,0,177,0,0,0,2,4,0,20,7,40.107950630558946,6,9.598687650498796,52,0,2,0,0,1,10.405886461797195,1,61,0,0.0005044772354647496,1,5,11.546569582998892,0,0,23,0.007188800605372683,11,0.34210526315789475,0
100062,0,5,55,128,0.0002786602017499861,70,33.83655994043187,136,0.006130524438499693,2355.4285714285716,375,0,128,110,0.47794117647058826,9,47.81086001489203,110,12,8,65,3,65,0.001058908766649947,298,9.795189873417723,0,267,0,0,1,19,5,0,117,7,59.213877290220786,60,11.756330603127324,139,1,19,0,0,10,12.362967237527926,5,128,0,0.0002786602017499861,1,13,13.534623976172748,3,0,75,0.003622582622749819,69,0.4117647058823529,9
1001154,0,0,0,6,0.0,1,30.11111111111111,9,0.004409171075837742,255.5,18,0,6,5,0.6666666666666666,1,45.5605263157895,5,1,0,0,0,0,0.018518518518518517,23,16.558713450292398,0,11,0,0,0,21,0,0,4,2,16.07669683062202,3,15.29333333333333,4,0,21,0,0,0,11.6246783625731,0,6,0,0.0,1,0,12.044444444444444,0,0,1,0.0,1,0.2222222222222222,0
100132,0,0,2,3,0.0,4,28.09010989010989,5,0.017350157728706624,222.0,8,0,3,11,0.6,0,32.17738461538465,11,2,0,0,0,0,0.006309148264984227,22,17.601208791208787,0,6,0,0,0,4,0,0,5,1,12.539392014169456,0,15.784725274725275,5,0,4,0,0,0,13.292615384615384,1,3,0,0.0,1,1,11.236043956043957,0,0,1,0.0,1,0.2,0
1002559,0,3,27,50,0.00035650623885918,17,34.12819928609402,57,0.009744503862150922,1138.2857142857142,145,0,50,82,0.47368421052631576,4,42.74148667122353,82,4,1,11,1,11,0.00130718954248366,185,12.138686868686868,0,142,0,3,0,11,3,0,51,7,40.22902093797257,42,14.131574390521756,47,0,11,3,0,7,13.338468140047087,0,50,0,0.00035650623885918,1,4,13.65127971443761,1,0,23,0.00130718954248366,26,0.40350877192982454,12
10029193,0,0,7,24,0.0,14,33.56937917388078,26,0.007640067911714771,110.0,91,0,24,27,0.46153846153846156,2,52.25275537966857,27,4,4,0,0,0,0.0002829654782116582,158,9.92590032154341,0,46,0,0,0,1,0,0,34,1,27.939927826679853,7,12.17573460301756,28,0,1,0,0,1,11.914276527331193,0,24,0,0.0,1,5,13.427751669552315,0,0,22,0.0,6,0.4230769230769231,1
10035748,0,0,5,37,0.0,8,24.846049835812245,62,0.013313237879929666,1224.6666666666667,56,0,37,53,0.45161290322580644,1,42.909971991500896,53,7,0,12,0,12,0.0015071590052750565,86,9.433712574850297,0,33,0,0,0,6,0,0,21,3,28.84569596664017,1,6.417156654433068,31,0,6,0,0,0,9.950857639559594,0,37,0,0.0,1,4,9.938419934324898,0,0,18,0.003014318010550113,6,0.3548387096774194,0
10035910,0,2,6,68,0.0002,23,34.13110900821148,82,0.0113,1402.5,234,0,68,113,0.4024390243902439,2,40.30193687230991,113,4,6,41,0,41,0.0002,196,12.80352941176471,0,160,0,0,0,2,2,0,24,6,42.97499218261337,2,12.492863640526267,48,0,2,0,0,1,12.479330260386462,1,68,0,0.0002,1,2,13.652443603284594,0,0,40,0.0041,8,0.3780487804878049,10
10038847,0,0,0,1,0.0,0,37.0,2,0.007692307692307693,0,6,0,1,3,0.5,0,24.104000000000013,3,0,0,0,0,0,0.020512820512820513,21,24.106800000000003,0,2,0,0,0,8,0,0,0,0,10.071067811865476,0,24.049999999999997,1,0,8,0,0,0,16.108000000000004,0,1,0,0.0,1,0,14.8,0,0,0,0.0,0,0.5,0
10042521,0,0,0,1,0.0,0,56.57142857142857,2,0.005952380952380952,0,6,0,1,3,0.5,0,+AC0-11.934999999999974,3,0,0,0,0,0,0.01984126984126984,22,31.571071428571432,0,2,0,0,0,10,0,0,0,0,10.483314773547882,0,31.4375,1,0,10,0,0,0,21.88,0,1,0,0.0,1,0,22.62857142857143,0,0,0,0.0,0,0.5,0
10078028,0,0,32,63,0.0,41,31.880208333333332,72,0.01002214194149866,1068.142857142857,223,0,63,86,0.4722222222222222,3,51.56213541666668,86,7,3,45,0,45,0.0002330730684069456,164,8.945638020833336,0,127,0,1,3,2,0,0,116,7,42.191835884530846,20,10.214752604166662,44,0,2,1,0,1,11.367239583333333,1,63,0,0.0,1,15,12.752083333333333,0,0,58,0.0052441440391562755,27,0.4305555555555556,0
1009041,0,5,151,252,0.0001167733196319305,140,41.17049038868568,260,0.005441636694847961,5046.5,900,0,252,233,0.47692307692307695,17,37.018477583549526,233,11,19,137,5,137,0.0006772852538651969,420,11.856018061238885,0,709,0,3,4,29,5,0,267,8,87.1843215806839,104,15.27036724880876,281,0,29,3,0,10,14.867563637646398,1,252,0,0.0001167733196319305,1,42,16.46819615547427,5,0,137,0.0031995889579148956,60,0.3576923076923077,38
10106868,1,16,155,472,0.00021521285896832336,446,29.151538514692575,684,0.003026430829242047,6534.636363636364,1621,0,472,225,0.5555555555555556,11,51.69239419290125,225,37,28,400,0,400,0.000699441791647051,842,9.411408731681117,0,1132,0,6,3,52,16,0,414,11,117.16216536138407,171,9.58194358405541,479,0,52,6,0,31,10.782844362017606,13,472,0,0.00021521285896832336,1,67,11.660615405877031,0,0,234,0.005380321474208084,186,0.347953216374269,64
101135,1,2,136,200,5.044645109216567e+AC0-05,189,43.815996294152924,227,0.003455581899813348,3545.6363636363635,1020,0,200,137,0.5594713656387665,11,36.80969346057094,137,22,18,16,1,16,0.001362054179488473,503,11.37747542448615,0,864,0,2,8,54,2,0,236,11,84.93900170248598,156,15.977808990091056,234,0,54,2,0,22,15.472888539825387,8,200,0,5.044645109216567e+AC0-05,1,28,17.52639851766117,1,0,147,0.00040357160873732533,116,0.3524229074889868,25
10118647,0,3,14,36,0.0005203816131830009,19,31.94248126406645,47,0.010928013876843019,1072.8,108,0,36,63,0.48936170212765956,0,41.080557089491634,63,4,1,30,0,30,0.0010407632263660018,146,12.744449291166848,0,67,0,0,0,6,3,0,32,5,33.282007859453444,10,12.45545001044107,32,0,6,0,0,0,12.376400844567161,0,36,0,0.0005203816131830009,1,5,12.77699250562658,0,0,14,0.005203816131830009,2,0.425531914893617,0
1012555,0,0,8,17,0.0,22,45.51160409556314,20,0.010317675807765408,889.6666666666666,89,0,17,38,0.55,1,25.219732081911275,38,2,1,9,0,9,0.0,127,13.53213310580205,0,59,0,0,0,0,0,0,15,3,27.20743687382041,4,17.57571672354949,20,0,0,0,0,4,17.02061774744028,0,17,0,0.0,1,2,18.204641638225258,0,0,11,0.0024436600597339125,16,0.4,3
10135209,0,0,137,330,0.0,203,30.7132895988208,341,0.0009562453156901765,5504.571428571428,879,0,330,37,0.4340175953079179,59,50.25724882995837,37,118,42,13,17,13,0.0,379,10.31742663656885,0,529,3,2,2,0,0,0,710,7,84.51686941977103,160,10.497613949147045,271,3,0,2,0,6,11.090515524428,4,330,0,0.0,1,79,12.285315839528321,17,0,221,0.0003359780838911431,94,0.3489736070381232,20
