doc_name,ClasstargetResult,ARI readability feature,Articles count,Auxiliary verbs count,Char Count,Coleman-Liau readability feature,Complete URL link count,Complete URL link count per length,Complete URL link count per section,Coordination conjunctions count,Correlative conjunctions count,Flesch Kincaid Readability Feature,Flesch Reading Ease Readability Feature,Gunning Fog Index readability feature,Images count,Images per length,Images per section,Images per subsection,Indefinite pronouns count,Interrogative pronouns count,Large paragraph count,Large phrase count,Large phrase rate,Largest phrase size,Largest section size,Lasbarhetsindex readability feature,Mean section size,Mean subsection size,Paragraph count,Phrase count,Prepositions count,Pronouns count,Relative URL link count,Relative URL link count per length,Relative URL link count per section,Relative pronoums count,SMOG Grading readability feature,Same page link count,Same page link count per length,Same page link count per section,Section count,Sentences starting with articles,Sentences starting with auxiliary verbs,Sentences starting with coordination conjunctions,Sentences starting with correlative conjunctions,Sentences starting with indefinite pronouns,Sentences starting with interrogative pronouns,Sentences starting with prepositions,Sentences starting with pronouns,Sentences starting with relative pronoums,Sentences starting with subordinating conjunctions,Sentences starting with to be verbs,Short phrase rate,Shortest section size,Standard deviation of the section size,Subordinating conjunctions count,Subsection count,To be verbs count,Word Count
25,5.0c,15.94775387021221,332,183,44490,15.117638005031823,51,0.0011463250168577209,51,367,36,15.59117230469123,24.356607608542504,17.115649300106426,7,0.0001573387278040009,7,7,135,20,0,259,0.39590443686006827,456,0,42.789123250266066,0,3560.3333333333335,1,293,849,185,231,0.00519217801753203,231,94,85.20097323024831,205,0.004607777028545741,205,0,17,0,4,2,8,0,4,9,0,7,0,0.5187713310580204,0,0,125,12,151,6757
336,2.0c,13.5865,283,117,26900,13.05468604651163,41,0.0015241635687732345,41,168,17,14.314906976744188,30.725709302325612,16.348837209302328,0,0,0,0,97,35,0,149,345,367,0,40.872093023255815,0,2301.818181818182,1,200,552,250,148,0.00550185873605948,148,98,68.57438524302,10,0.0003717472118959108,10,0,9,0,7,1,7,2,18,19,1,8,0,535,0,0,101,11,78,4300
663,5.0c,9.411213082374893,842,227,42329,9.075109911807292,44,0.0010394764818445982,44,221,14,9.950618127379968,58.06446944225246,10.913954012036545,13,0.00030711805145408583,13,13,89,29,0,313,0.39086294416243655,470,0,27.28488503009136,0,2896.5714285714284,1,394,981,323,276,0.006520352477025208,276,109,90.16077099245967,16,0.0003779914479434903,16,0,37,0,2,0,4,3,36,53,3,37,0,0.5101522842639594,0,0,197,14,242,7597
717,4.0c,13.130976072129217,492,89,39693,12.758517884914465,64,0.001612374977955811,64,286,27,13.151412191626264,38.20010683174257,15.148619115868224,11,0.000277126949336155,11,11,121,15,0,259,0.31699346405228757,461,0,37.87154778967056,0,2918.153846153846,1,306,796,104,437,0.01100949789635452,437,58,83.18728078691782,24,0.0006046406167334291,24,0,37,0,1,3,8,0,30,18,0,10,0,0.5588235294117647,0,0,109,13,104,6430
737,4.0c,17.444048512139858,654,106,52779,16.521377537908,133,0.0025199416434566776,133,310,17,14.820859715593482,31.321572576639824,15.793647445024147,15,0.0002842039447507531,15,15,86,37,0,287,0.3374233128834356,596,0,39.484118612560366,0,3825.4615384615386,1,326,1011,171,491,0.009302942458174653,491,74,91.2156448709638,87,0.0016483828795543682,87,0,43,0,1,0,6,1,41,21,0,14,0,0.5552147239263804,0,0,157,13,145,7782
770,3.0c,12.523172057416822,721,114,40195,11.712393966547191,54,0.001343450677945018,54,252,18,11.66294663608739,49.79332313383813,12.91329391833489,10,0.00024878716258241074,10,10,122,49,0,279,0.3215434083601286,424,0,32.283234795837224,0,2991.3076923076924,1,311,885,175,221,0.005498196293071278,221,89,84.82909018191513,12,0.0002985445950988929,12,0,51,0,2,1,10,3,25,26,3,28,0,0.5530546623794212,0,0,179,13,84,6696
904,4.0c,13.495754234440524,375,118,33952,14.097670819177049,84,0.002474081055607917,84,192,14,13.453769616566898,33.17105627667917,15.395706445310068,5,0.00014726672950047124,5,5,60,19,0,230,0.3882783882783883,341,0,38.48926611327517,0,2990.818181818182,1,273,651,131,351,0.010338124410933082,351,55,75.78736154031138,34,0.0010014137606032046,34,0,32,0,4,1,1,2,15,26,2,14,0,0.4871794871794872,0,0,136,11,111,5298
931,4.0c,8.89851487584665,537,116,36320,9.880795053003531,13,0.0003579295154185022,13,227,10,10.140899778553903,51.84992345927512,10.555302745521526,3,8.259911894273127e-05,3,3,67,28,0,266,0.3643617021276595,403,0,26.388256863803814,0,5128.714285714285,1,376,739,230,239,0.006580396475770925,239,99,81.90500617831546,0,0,0,0,36,2,3,0,8,0,23,15,0,9,0,0.5319148936170213,0,0,141,7,123,6226
1365,4.0c,10.4789144581605,405,148,38598,11.762416234072674,78,0.002020830094823566,78,235,15,12.702198864906489,33.79027651449297,14.770861627878094,3,7.7724234416291e-05,3,3,42,13,0,255,0.36578947368421055,398,0,36.927154069695234,0,2476.3333333333335,1,380,726,118,410,0.010622312036893103,410,52,82.73079706111058,81,0.002098554329239857,81,0,25,0,1,0,4,2,15,22,2,16,0,0.5368421052631579,0,0,146,15,130,6357
1680,1.0c,13.062683798502375,33,5,2955,14.64064159292035,15,0.005076142131979695,15,15,0,11.657256637168144,42.44979237576584,11.909598366235535,1,0.00033840947546531303,1,1,11,1,0,16,0.4230769230769231,113,0,29.77399591558883,0,795.3333333333334,1,26,46,11,21,0.007106598984771574,21,2,24.2602916254693,0,0,0,0,4,0,0,0,1,0,0,4,0,1,0,0.4615384615384616,0,0,13,3,5,452
1844,5.0c,13.66112251535759,583,134,35081,12.670118020081024,78,0.002223425786038026,78,155,10,12.361672038991426,46.24404829752325,13.414351596925847,11,0.0003135600467489524,11,11,34,29,0,220,0.3188976377952756,349,0,33.535878992314615,0,3317.3,1,254,864,274,277,0.00789601208631453,277,111,78.34586916347837,96,0.0027365240443544938,96,0,38,0,0,0,1,3,20,33,3,10,0,0.547244094488189,0,0,107,10,137,5677
2065,4.0c,137.3534948368939,2654,98,733260,8.751175681209642,47,6.409731882279138e-05,47,3551,18,110.81927110051392,-204.3494771801011,116.99665785722976,15,2.045659111365682e-05,15,15,573,70,0,433,0.18914185639229425,16333,0,292.4916446430744,0,81252,1,571,4890,473,175,0.0002386602296593296,175,100,401.4030622372273,33642,0.04588004254970952,33642,0,32,0,3,0,3,3,20,33,3,10,0,0.809106830122592,0,0,315,9,126,158725
2067,5.0c,64.73202578825185,1152,55,237760,8.84541492832427,30,0.00012617765814266487,30,1192,13,54.18174806738217,-57.58348470210376,58.7111552227913,9,3.785329744279946e-05,9,9,219,24,0,294,0.0968586387434555,8888,0,146.77788805697824,0,14797.25,1,382,1835,103,316,0.00132907133243607,316,51,227.8888614404902,10005,0.04208024899057874,10005,0,35,0,1,0,7,0,12,9,0,4,0,0.9031413612565444,0,0,157,16,96,50575
2130,4.0c,14.10815551437333,677,249,59488,13.67202921731712,82,0.0013784292630446475,82,442,34,14.178152109485886,31.81058157389637,16.151705900088984,12,0.0002017213555675094,12,12,161,63,0,354,0.3471264367816092,621,0,40.37926475022246,0,4203,1,435,1201,365,363,0.00610207100591716,363,161,99.84007434941384,35,0.0005883539537385691,35,0,25,7,13,0,6,6,14,24,1,13,2,0.5632183908045977,0,0,202,14,179,9378
